date,     hour,   close_price,max_price,  min_price,  Total volume in BTC
20161106, 010000, 0.01299247, 0.01326000, 0.01285776, 189.515217
20161107, 010000, 0.01356019, 0.01378999, 0.01296952, 402.321972
20161108, 010000, 0.01468010, 0.01470573, 0.01323146, 532.152488
20161109, 010000, 0.01295668, 0.01493333, 0.01272222, 818.186738
20161110, 010000, 0.01339379, 0.01380000, 0.01295668, 298.927788
20161111, 010000, 0.01334550, 0.01366847, 0.01321316, 186.571549
20161112, 010000, 0.01340138, 0.01366000, 0.01321316, 163.839249
20161113, 010000, 0.01370973, 0.01401111, 0.01333333, 237.361150
20161114, 010000, 0.01371247, 0.01398700, 0.01351772, 160.249328
20161115, 010000, 0.01343548, 0.01390000, 0.01338932, 226.211967
20161116, 010000, 0.01330968, 0.01367719, 0.01327970, 136.441496
20161117, 010000, 0.01230000, 0.01340000, 0.01201111, 420.468737
20161118, 010000, 0.01215000, 0.01260000, 0.01205000, 164.415627
20161119, 010000, 0.01179186, 0.01217450, 0.01155500, 243.906786
20161120, 010000, 0.01113213, 0.01186010, 0.01102368, 304.424042
20161121, 010000, 0.01148793, 0.01171111, 0.01103937, 243.340455
20161122, 010000, 0.01192600, 0.01192600, 0.01134315, 191.079421
20161123, 010000, 0.01150020, 0.01199000, 0.01131406, 282.562912
20161124, 010000, 0.01191318, 0.01198152, 0.01109785, 270.747824
20161125, 010000, 0.01237911, 0.01251000, 0.01176674, 305.964288
20161126, 010000, 0.01195000, 0.01254888, 0.01180504, 273.413134
20161127, 010000, 0.01209207, 0.01247368, 0.01183330, 145.428332
20161128, 010000, 0.01232392, 0.01258884, 0.01198102, 195.765860
20161129, 010000, 0.01184923, 0.01246000, 0.01180001, 128.079279
20161130, 010000, 0.01186000, 0.01215000, 0.01182215, 67.3971127
20161201, 010000, 0.01160916, 0.01200000, 0.01154295, 127.318815
20161202, 010000, 0.01140001, 0.01196889, 0.01133777, 164.873785
20161203, 010000, 0.01140451, 0.01150000, 0.01106100, 132.154127
20161204, 010000, 0.01137840, 0.01160000, 0.01125401, 66.1497419
20161205, 010000, 0.01150998, 0.01175000, 0.01100407, 206.152891
20161206, 010000, 0.01132562, 0.01165000, 0.01100000, 240.883760
20161207, 010000, 0.01143134, 0.01160809, 0.01110403, 169.669439
20161208, 010000, 0.01143599, 0.01156853, 0.01130003, 82.3093124
20161209, 010000, 0.01131878, 0.01149420, 0.01115000, 65.6299902
20161210, 010000, 0.01149400, 0.01151053, 0.01131878, 89.8451114
20161211, 010000, 0.01182290, 0.01210000, 0.01131900, 188.694114
20161212, 010000, 0.01245040, 0.01256000, 0.01178100, 299.444682
20161213, 010000, 0.01193966, 0.01249998, 0.01145412, 355.736066
20161214, 010000, 0.01195808, 0.01210119, 0.01181006, 120.241527
20161215, 010000, 0.01193880, 0.01212563, 0.01155500, 157.976187
20161216, 010000, 0.01208005, 0.01225000, 0.01177362, 148.894387
20161217, 010000, 0.01226293, 0.01274709, 0.01191000, 353.592457
20161218, 010000, 0.01234698, 0.01242297, 0.01191302, 130.275166
20161219, 010000, 0.01314445, 0.01338000, 0.01232224, 409.418040
20161220, 010000, 0.01314999, 0.01331305, 0.01270000, 323.446510
20161221, 010000, 0.01260759, 0.01325488, 0.01250000, 327.092183
20161222, 010000, 0.01087935, 0.01272864, 0.01062430, 455.908787
20161223, 010000, 0.01057314, 0.01162113, 0.01041028, 366.009223
20161224, 010000, 0.01079919, 0.01100000, 0.01000001, 324.311794
20161225, 010000, 0.01159599, 0.01159888, 0.01068684, 243.445886
20161226, 010000, 0.01125278, 0.01163241, 0.01081726, 154.430550
20161227, 010000, 0.01081601, 0.01136316, 0.01050333, 178.226387
20161228, 010000, 0.01068013, 0.01090000, 0.01015000, 351.245728
20161229, 010000, 0.01042002, 0.01100004, 0.01027795, 289.284332
20161230, 010000, 0.01168345, 0.01224748, 0.01038107, 578.178125
20161231, 010000, 0.01165500, 0.01206447, 0.01119045, 288.050459
20170101, 010000, 0.01197976, 0.01202980, 0.01156590, 187.453817
20170102, 010000, 0.01155038, 0.01206500, 0.01106602, 347.438986
20170103, 010000, 0.01204265, 0.01214424, 0.01118306, 402.196897
20170104, 010000, 0.01332289, 0.01337597, 0.01201000, 705.538033
20170105, 010000, 0.01415086, 0.01557087, 0.01324196, 2301.10719
20170106, 010000, 0.01460990, 0.01466655, 0.01375000, 631.945636
20170107, 010000, 0.01397523, 0.01499900, 0.01320000, 960.545318
20170108, 010000, 0.01366426, 0.01439000, 0.01316016, 480.913179
20170109, 010000, 0.01405564, 0.01417200, 0.01365002, 261.532898
20170110, 010000, 0.01381056, 0.01406001, 0.01336003, 277.701473
20170111, 010000, 0.01395496, 0.01407000, 0.01365020, 190.680657
20170112, 010000, 0.01439987, 0.01468787, 0.01371877, 543.228859
